president,speech_date,year,title,url,source_file,word_count,self_count,collective_count,self_per_1k,collective_per_1k,self_share,speech_type,is_sotu_series,delivery_mode
Abraham Lincoln,1852-07-06,1852,"July 6, 1852: Eulogy on Henry Clay",https://millercenter.org/the-presidency/presidential-speeches/july-6-1852-eulogy-henry-clay,"Abraham_Lincoln_1852-07-06T13:03:58-04:56_July_6,_1852:_Eulogy_on_Henry_Clay.json",10778,72,86,6.68,7.98,0.4557,Other,False,written_era
Abraham Lincoln,1854-10-16,1854,"October 16, 1854: At Peoria, Illinois",https://millercenter.org/the-presidency/presidential-speeches/october-16-1854-peoria-illinois,"Abraham_Lincoln_1854-10-16T13:03:58-04:56_October_16,_1854:_At_Peoria,_Illinois.json",33210,472,422,14.21,12.71,0.528,Other,False,written_era
Abraham Lincoln,1858-06-16,1858,"June 16, 1858: ""A House Divided"" Speech",https://millercenter.org/the-presidency/presidential-speeches/june-16-1858-house-divided-speech,"Abraham_Lincoln_1858-06-16T13:03:58-04:56_June_16,_1858:_""A_House_Divided""_Speech.json",3217,9,48,2.8,14.92,0.1579,Other,False,written_era
Abraham Lincoln,1860-02-27,1860,"February 27, 1860: Cooper Union Address",https://millercenter.org/the-presidency/presidential-speeches/february-27-1860-cooper-union-address,"Abraham_Lincoln_1860-02-27T13:03:58-04:56_February_27,_1860:_Cooper_Union_Address.json",13694,96,368,7.01,26.87,0.2069,Other,False,written_era
Abraham Lincoln,1861-02-11,1861,"February 11, 1861: Farewell Address",https://millercenter.org/the-presidency/presidential-speeches/february-11-1861-farewell-address,"Abraham_Lincoln_1861-02-11T13:03:58-04:56_February_11,_1861:_Farewell_Address.json",152,15,1,98.68,6.58,0.9375,Farewell Address,False,written_era
Abraham Lincoln,1861-03-04,1861,"March 4, 1861: First Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1861-first-inaugural-address,"Abraham_Lincoln_1861-03-04T13:03:58-04:56_March_4,_1861:_First_Inaugural_Address.json",3632,59,23,16.24,6.33,0.7195,Inaugural Address,False,written_era
Abraham Lincoln,1861-07-04,1861,"July 4, 1861: July 4th Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/july-4-1861-july-4th-message-congress,"Abraham_Lincoln_1861-07-04T13:03:58-04:56_July_4,_1861:_July_4th_Message_to_Congress.json",6268,3,37,0.48,5.9,0.075,Address to Congress,False,written_era
Abraham Lincoln,1861-12-03,1861,"December 3, 1861: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1861-first-annual-message,"Abraham_Lincoln_1861-12-03T13:03:58-04:56_December_3,_1861:_First_Annual_Message.json",6951,74,55,10.65,7.91,0.5736,Annual Message,True,written_era
Abraham Lincoln,1862-12-01,1862,"December 1, 1862: Second Annual Message",,"Abraham_Lincoln_1862-12-01T13:03:58-04:56_December_1,_1862:_Second_Annual_Message.json",8291,55,129,6.63,15.56,0.2989,Annual Message,True,written_era
Abraham Lincoln,1863-01-01,1863,"January 1, 1863: Emancipation Proclamation",https://millercenter.org/the-presidency/presidential-speeches/january-1-1863-emancipation-proclamation,"Abraham_Lincoln_1863-01-01T13:03:58-04:56_January_1,_1863:_Emancipation_Proclamation.json",711,10,4,14.06,5.63,0.7143,Other,False,written_era
Abraham Lincoln,1863-08-26,1863,"August 26, 1863: Public Letter to James Conkling",https://millercenter.org/the-presidency/presidential-speeches/august-26-1863-public-letter-james-conkling,"Abraham_Lincoln_1863-08-26T13:03:58-04:56_August_26,_1863:_Public_Letter_to_James_Conkling.json",1688,41,18,24.29,10.66,0.6949,Other,False,written_era
